Car model,Autonomy_WLTP_Km,DC Charging connector,DC charging protocol,DC_nominal_charge_power_KW,year,AC Charging connector,AC_nominal_charging,AC Charging Protocol,Car_type,Approx_Release_price_order_in_K$,Battery_Capacity_kWh,Source
Aston Martin RapidE,320,G High Charging Combo CCS up to 150 KW,DC ISO IEC 15118-2,150,2019,None,NA,NA,empty,empty,65,
Audi E tron s,362,G High Charging Combo CCS up to 150 KW,DC ISO IEC 15118-2,150,2020,B Type 2 Tri up to 11KW,11,IEC 61851-1,SUV,70,86,
Audi Q6,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2018,None,NA,NA,SUV,empty,empty,
BMW i3,130,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50,2016,B Type 2 Tri up to 11KW,11,IEC 61851-1,hatchback,empty,empty,
BMW i3 2.0,140,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50,2017,B Type 2 Tri up to 11KW,11,IEC 61851-1,hatchback,40,42,
BMW Mini E,250,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50,2019,B Type 2 Tri up to 11KW,11,IEC 61851-1,hatchback,empty,33,
Chevrolet Bolt,380,E Fast Charging Combo CCS up to 50 KW,DC ISO IEC 15118-2,50,2016,A Type 2 Mono up to 7KW,7.2,IEC 61851-1,Sedan,60,30,
Citroen E Mehari,200,None,NA,NA,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,hatchback,30,30,
Citroen Berlingo,110,F CHAdeMO up to 100KW,E CHAdeMO 100KW,50,2010,A Type 2 Mono up to 7KW,2.3,NA,Van,20,empty,
Citroen C  Zero,130,F CHAdeMO up to 100KW,E CHAdeMO 100KW,50,2010,A Type 2 Mono up to 7KW,3.7,NA,hatchback,20,14.5,
Daimler E Smart,120,None,NA,NA,2015,C Type 2 Tri up to 22W,22,IEC 61851-1,empty,empty,empty,
Daimler Smart ED,110,None,NA,NA,2015,C Type 2 Tri up to 22W,22,IEC 61851 1,empty,empty,empty,
Daimler EQC,414,G High Charging Combo CCS up to 150 KW,DIN 70121,110,2019,B Type 2 Tri up to 11KW,11,IEC 61851-1,empty,empty,empty,
Daimler EQV,405,G High Charging Combo CCS up to 150 KW,DIN 70121,110,2021,B Type 2 Tri up to 11KW,11,IEC 61851-1,Van,empty,90,https:www.automobile_propre.comvoituresmercedes_eqvautonomie
Faraday Future 91,650,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2018,None,NA,NA,SUV,empty,empty,
Ford focus Electric,207,None,NA,NA,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,hatchback,empty,empty,
Ford Focus Electric,165,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2013,0 Type 1 Mono up to 3KW,6.6,0 Type 1 Mono up to 3KW,Sedan,40,34,
Ford Model E,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2019,None,NA,NA,empty,empty,empty,
Ford Mustang Mach E,600,G High Charging Combo CCS up to 150 KW,DC ISO IEC 15118-2,115,2020,A Type 2 Mono up to 7KW,7.2,IEC 61851-1,Sedan,50,85,
Honda Fit,empty,None,NA,NA,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,Sedan,empty,empty,
Honda E,220,G High Charging Combo CCS up to 150 KW,DC ISO IEC 15118-20,100,2020,A Type 2 Mono up to 7KW,6.6,IEC 61851-1,hatchback,35,empty,
Hyundai Esuv,320,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2018,None,NA,NA,empty,empty,empty,
Hyundai Ioniq,140,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50,2016,A Type 2 Mono up to 7KW,7.2,IEC 61851-1,Sedan,40,40,
Infinity LE,200,F CHAdeMO up to 100KW,E CHAdeMO 100KW,100,2017,None,NA,NA,empty,empty,empty,
Jaguar i Pace,450,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2017,B Type 2 Tri up to 11KW,11,61851-1,Sedan,70,empty,
Kia Niro,455,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2018,B Type 2 Tri up to 11KW,11,61851-1,SUV,40,64,
Kia Soul,150,F CHAdeMO up to 100KW,E CHAdeMO 100KW,80,2018,A Type 2 Mono up to 7KW,7,61851-1,hatchback,30,30,
Lucid Air,650,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2020,B Type 2 Tri up to 11KW,11,61851-1,Sedan,empty,empty,
Mahindra e20,110,None,NA,NA,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,hatchback,empty,empty,
Mazda MX 30,200,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50,2020,A Type 2 Mono up to 7KW,6.6,IEC 61851-1,SUV,empty,36,
Mercedes B250,140,None,NA,NA,2016,B Type 2 Tri up to 11KW,11,IEC 61851-1,empty,empty,empty,
Merceds Vito E cell,130,None,NA,NA,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,Van,empty,36,
Mitsubishi i MiEV,110,F CHAdeMO up to 100KW,E CHAdeMO 100KW,50,2010,0 Type 1 Mono up to 3KW,7,IEC 61851-1,hatchback,40,16,
