Car_model;Autonomy_Km;_DC_Charging_connector;DC_charging_protocol;DC_nominal_charge_power_KW;year;AC_Charging_connector;AC_nominal_charging;AC_Charging_Protocol;Car_type;Approx_Release_price_order_in_K$;Battery_Capacity_kWh;Source
Mitsubishi_i-MiEV;110;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2010;None;N/A;;hatchback;40;;
Nissan_Leaf_1.0;120;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2011;None;N/A;;hatchback;30;;
Peugeot_iOn;110;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2010;None;N/A;;hatchback;30;;
Citroen_Berlingo;110;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2010;None;N/A;;Van;20;;
Citroen_C_-Zero;130;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2010;None;N/A;;hatchback;20;;
Peugeot_Partner;110;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2010;None;N/A;;Van;30;;
Nissan_Leaf_1.1;130;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2012;None;N/A;;hatchback;30;;
Kia_Soul_EV;150;E_CHAdeMO_100KW;E_CHAdeMO_100KW;100;2018;None;N/A;;SUV;30;30;
Tesla_S;450;E_CHAdeMO_100KW;E_CHAdeMO_100KW;60;2012;C_Type_2_22W;22;IEC_61851-1;Sedan;80;100;
Nissan_e-NV200;110;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2012;None;N/A;;Van;30;;
Nissan_Leaf_3.0;120;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2015;None;N/A;;hatchback;30;30;
Tesla_model_X;450;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2015;None;N/A;;SUV;100;90;
Renault ZOE ZE;400;None;;N/A;2013;D_Type_2_43W;43;;hatchback;52;;
Daimler Smart ED;110;None;;N/A;2015;C_Type_2_22W;22;;;;;
Renault ZOE ;130;None;;N/A;2013;C_Type_2_22W;22;;;;;
Renault ZOE;200;None;;N/A;2013;C_Type_2_22W;22;;;;;
Daimler E-Smart;120;None;;N/A;2015;C_Type_2_22W;22;;;;;
Mercedes B250;140;None;;N/A;2016;B_Type_2_11KW;11;;;;;
