Car_model;Autonomy_WLTP_Km;DC_Charging_connector;DC_charging_protocol;DC_nominal_charge_power_KW;year;AC_Charging_connector;AC_nominal_charging;AC_Charging_Protocol;Car_type;Approx_Release_price_order_in_K$;Battery_Capacity_kWh;Source
Aston_Martin_RapidE;320;F_High_Charging_Combo_CCS_up_to_150_KW;DC_ISO-IEC_15118-2;150;2019;None;N/A;N/A;;;65;
Audi_E_tron_s;362;F_High_Charging_Combo_CCS_up_to_150_KW;DC_ISO-IEC_15118-2;150;2020;B_Type_2_Tri_11KW;11;IEC_61851-1;SUV;70;86;
Audi_Q6;500;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2018;None;N/A;N/A;SUV;;;
BMW_i3;130;G_Fast_Charging_Combo_CCS_up_to_50_KW;DIN_70121;50;2016;B_Type_2_Tri_11KW;11;IEC_61851-1;hatchback;;;
BMW_i3_2.0;140;G_Fast_Charging_Combo_CCS_up_to_50_KW;DIN_70121;50;2017;B_Type_2_Tri_11KW;11;IEC_61851-1;hatchback;40;42;
BMW_Mini_E;250;G_Fast_Charging_Combo_CCS_up_to_50_KW;DIN_70121;50;2019;B_Type_2_Tri_11KW;11;IEC_61851-1;hatchback;;33;
Chevrolet_Bolt;380;G_Fast_Charging_Combo_CCS_up_to_50_KW;DC_ISO-IEC_15118-2;50;2016;A_Type_2_Mono_7KW;7.2;IEC_61851-1;Sedan;60;30;
Citroen E-Mehari;200;None;N/A;N/A;2016;A_Type_2_Mono_7KW;7.5;IEC_61851-16;hatchback;30;30;
Citroen_Berlingo;110;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2010;A_Type_2_Mono_7KW;2.3;N/A;Van;20;;
Citroen_C_-Zero;130;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2010;A_Type_2_Mono_7KW;3.7;N/A;hatchback;20;14.5;
Daimler E-Smart;120;None;N/A;N/A;2015;C_Type_2_Tri_22W;22;IEC_61851-5;;;;
Daimler Smart ED;110;None;N/A;N/A;2015;C_Type_2_Tri_22W;22;IEC_61851-2;;;;
Daimler_EQC;414;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;110;2019;B_Type_2_Tri_11KW;11;IEC_61851-1;;;;
Daimler_EQV;405;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;110;2021;B_Type_2_Tri_11KW;11;IEC_61851-1;Van;;90;https://www.automobile-propre.com/voitures/mercedes-eqv/autonomie/
Faraday_Future_91;650;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2018;None;N/A;N/A;SUV;;;
Ford focus Electric;207;None;N/A;N/A;2016;A_Type_2_Mono_7KW;7.5;IEC_61851-12;hatchback;;;
Ford_Focus_Electric;165;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2013;0_Type_1_Mono_3KW;6.6;0_Type_1_Mono_3KW;Sedan;40;34;
Ford_Model_E;500;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2019;None;N/A;N/A;;;;
Ford_Mustang_Mach_E;600;F_High_Charging_Combo_CCS_up_to_150_KW;DC_ISO-IEC_15118-2;115;2020;A_Type_2_Mono_7KW;7.2;IEC_61851-1;Sedan;50;85;
Honda Fit;;None;N/A;N/A;2016;A_Type_2_Mono_7KW;7.5;IEC_61851-13;Sedan;;;
Honda_E;220;F_High_Charging_Combo_CCS_up_to_150_KW;DC_ISO-IEC_15118-20;100;2020;A_Type_2_Mono_7KW;6.6;IEC_61851-1;hatchback;35;;
Hyundai_Esuv;320;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2018;None;N/A;N/A;;;;
Hyundai_Ioniq;140;G_Fast_Charging_Combo_CCS_up_to_50_KW;DIN_70121;50;2016;A_Type_2_Mono_7KW;7.2;IEC_61851-1;Sedan;40;40;
Infinity_LE;200;E_CHAdeMO_100KW;E_CHAdeMO_100KW;100;2017;None;N/A;N/A;;;;
Jaguar_i-Pace;450;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2017;B_Type_2_Tri_11KW;11;61851-1;Sedan;70;;
Kia_Niro;455;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2018;B_Type_2_Tri_11KW;11;61851-1;SUV;40;64;
Kia_Soul;150;E_CHAdeMO_100KW;E_CHAdeMO_100KW;80;2018;A_Type_2_Mono_7KW;7;61851-1;hatchback;30;30;
Lucid_Air;650;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2020;B_Type_2_Tri_11KW;11;61851-1;Sedan;;;
Mahindra e20;110;None;N/A;N/A;2016;A_Type_2_Mono_7KW;7.5;IEC_61851-15;hatchback;;;
Mazda_MX-30;200;G_Fast_Charging_Combo_CCS_up_to_50_KW;DIN_70121;50;2020;A_Type_2_Mono_7KW;6.6;IEC_61851-1;SUV;;36;
Mercedes B250;140;None;N/A;N/A;2016;B_Type_2_Tri_11KW;11;IEC_61851-6;;;;
Merceds Vito E-cell;130;None;N/A;N/A;2016;A_Type_2_Mono_7KW;7.5;IEC_61851-8;Van;;36;
Mitsubishi_i-MiEV;110;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2010;0_Type_1_Mono_3KW;7;61851-1;hatchback;40;16;
Nissan_e-NV200;110;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2014;A_Type_2_Mono_7KW;7;N/A;Van;30;;
Nissan_Leaf_1.0;120;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2011;0_Type_1_Mono_3KW;N/A;N/A;hatchback;30;30;
